name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 3050 6GB GDDR6
Intel Iris Xe Graphics","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu NTSC 45%
Màn hình chống chói","56WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Xám,22.490.000₫,,
Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên),Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
TÜV Rheinland-certified
With stylus support","50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,19.990.000₫,,
Laptop ASUS Gaming V16 V3607VU-RP343W,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",Có thể nâng cấp; Cần tháo vỏ dưới/trên,"NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)
Intel Graphics",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Màn hình chống chói
Độ sáng 300nits
Độ phủ màu 45% NTSC","63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,23.490.000₫,,
Laptop ASUS TUF Gaming A15 FA506NCG-HN184W,"AMD Ryzen 7 7445HS 3.2GHz (22MB Cache, up to 4.7GHz, 6 lõi, 12 luồng)",2 khe (nâng cấp tối đa 64GB),"NVIDIA GeForce RTX 3050 4GB GDDR6 Up to 1675MHz at 60W (75W with Dynamic Boost)
AMD Radeon Graphics","512GB PCIe 4.0 NVMe M.2 SSD )2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 1TB)",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu NTSC 45% / SRGB 62.5% / Adobe 47.34%
Màn hình chống chói
Adaptive-Sync","48WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,20.990.000₫,5 sao/ (1 đánh giá),lúc mua mình cài win chưa shop
Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM),"NVIDIA Geforce RTX 3050 4GB GDDR6
Intel UHD Graphics",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified","50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,19.490.000₫,5 sao/ (4 đánh giá),"Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | dùng rất tốt nha , dù chỉ 1 quạt nhưng rất mát mẻ ok || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | sản phẩm rất tốt, giá thành cũng tốt, mặc dù em nó có một quạt nhưng rất mát || từng mua góp ở nhiều shop lớn. nhưng trải nghiệm mua ở cellphoneS thấy bị hụt hẫng || cứ nghĩ mua máy sẽ được dán màn chống trầy nhưng ko được. thua nhiều shop lớn"
Laptop ASUS Vivobook 15 X1502VA-BQ885W,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)","2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM, Có thể nâng cấp; Cần tháo vỏ dưới/trên)",Intel HD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,15.390.000₫,,
Laptop ASUS TUF Gaming F16 FX607VU-RL045W,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",2x SO-DIMM (Tối đa 64GB),"NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs) 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)
Intel Iris Xe Graphics","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (FullHD+),"Độ sáng 300nits
Độ phủ màu 45%
Màn hình chống chói
G-Sync","56WHrs, 4S1P, 4-cell Li-ion
Sạc lại từ 0-50% trong 30 phút",Windows 11 Home,Xám,26.990.000₫,5 sao/ (1 đánh giá),"sản phẩm rất chất lượng , bảo hành uy tính cho 5 sao"
Laptop ASUS TUF Gaming F16 FX608JMR-RV048W,"Intel Core i7 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 lõi, 24 luồng)","2 khe (1x 16GB, nâng cấp tối đa 32GB)","NVIDIA GeForce RTX 5060 8GB GDDR7 115W (100W+15W)
Intel UHD Graphics",1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 tối đa 2TB),16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300 nits
Độ phủ màu NTSC 72.00%, SRGB 100.00%, Adobe 75.35%
Màn hình chống chói
G-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Xám,37.990.000₫,5 sao/ (1 đánh giá),dòng này ở bên laptopword bán có 35tr59.bên đây bán mắc vãi
Laptop ASUS Vivobook S14 S3407QA-SF043WS,"Snapdragon X X1 26 100 (30MB Cache, up to 2.97GHz, 8 lõi, 8 luồng)",LPDDR5X Onboard,Qualcomm Adreno GPU,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels,"Độ sáng 300 nits
Độ phủ màu 95% DCI-P3
Tỷ lệ tương phản 1.000.000:1
1.07 tỷ màu
Màn hình chống chói
giảm 70% ánh sáng xanh có hại
Được chứng nhận bởi TÜV Rheinland","70WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xám,18.990.000₫,5 sao/ (1 đánh giá),"Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | mới mua máy chip x1-26. Nhân viên chi nhánh 288 3/2 nhiệt tình. Mình mua để hỗ trợ việc dạy học di chuyển nhiều cần laptop nhẹ nhưng vẫn đủ mạnh để chạy phần mềm class-in, pin trâu với loa lớn để khỏi đem cồng kềnh nhiều thứ. Pin máy này siêu trâu luôn mình đi dạy ở ngoài gần 7 tiếng thì lúc về nhà máy vẫn còn hơn 40%. bàn phím gõ cũng thoải mái, ít bám vân tay. Màn đẹp nè, xem phim siêu đã, cam bao sắc nét có nhiều chế độ AI để chỉnh. Nói chung ai dân văn phòng ngôn ngữ như mình có thể cân nhắc module này để tiết kiệm hơn"
Laptop ASUS Vivobook 14 M1405NAQ-LY011W,"AMD Ryzen 7 170 3.2GHz (20MB Cache, up to 4.75 GHz, 8 lõi, 16 luồng)","2 khe (8GB DDR5 on board + 8GB DDR5 SO-DIMM, Có thể nâng cấp; Cần tháo vỏ dưới/trên)",AMD Radeon Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300 nits
Độ phủ màu 45% NTSC
Bề mặt màn hình chống loá
Chứng nhận TÜV Rheinland","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,16.990.000₫,,
Laptop ASUS Zenbook 14 UM3406KA-PP113WS,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",Onboard,AMD Radeon Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,2880 x 1800 pixels,"Độ sáng 400nits
Độ sáng đỉnh HDR 600nits
Độ phủ màu 100% DCI-P3
VESA CERTIFIED Display HDR True Black 600
1.07 tỷ màu
Ánh sáng xanh ít gây hại hơn 70%
TÜV Rheinland-certified
SGS Eye Care Display","75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Đen,25.390.000₫,,
Laptop ASUS Vivobook 15 X1502VA-BQ886W,"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads)",8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên),Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Màn hình chống chói
Độ phủ màu 45% NTSC
TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,16.990.000₫,,
Laptop ASUS Vivobook Go 14 E1404FA-EB482W,"AMD Ryzen 5 7520U 2.8GHz (6MB Cache, up to 4.3GHz, 4 lõi, 8 luồng)",LPDDR5 Onboard,AMD Radeon Graphics,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits
Độ phủ màu 45% NTSC
Màn hình chống chói","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,13.890.000₫,,
