name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop Dell Inspiron 15 3530 J9XFD - Nhập khẩu chính hãng,Intel Core i5-1334U,"2 khe (2 x 8GB, tối đa 16GB)",Intel Iris Xe Graphics,"512GB SSD , nâng tối đa 1TB",15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,"3 cell, 41Wh",Windows 11,Đen,15.490.000₫,,
Laptop Dell Inspiron 14 5440 D0F3W - Nhập khẩu chính hãng,"Intel Core i5-1334U thế hệ thứ 13 / 10 nhân 12 luồng / up to 4.6 GHz, 12MB","2 khe (8GB+16GB, tối đa 32GB)",Intel UMA Graphics,1 khe tối đa 1TB,14 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,3 cell 41 Wh,Windows 11 Home,Đen,16.490.000₫,,
Laptop Dell 15 DC15255 DC5R5802W1,Ryzen 5 7530U Tốc độ CPU (Base): 2.0 GHz Tốc độ CPU tối đa (turbo boost): 4.5 GHz Bộ nhớ đệm: 12 MB,DDR4 3200MHz,AMD Radeon Graphics,512GB M.2 PCIe NVMe nâng cấp lên đến 1TB 1 khe SSD M2 đã sữ dụng,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói","3-Cell Battery, 41WHr",Windows 11 Home Single Language English + Microsoft Office Home & Student 2024 + Microsoft 365 Basic (1 năm),Bạc,15.990.000₫,,
Laptop Dell Latitude 3450 L3450-1335U-16512W-UMC,Intel Core i5-1335U (nhân 10 / luồng 12 tốc độ 1-4.6 GHz),"2 khe rời (2 x 8GB, nâng tối đa 64GB)",Intel Iris Xe Graphics,"512GB, M.2 2230, QLC PCIe Gen 4 NVMe Nâng cấp tối đa 1TB",14 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nits
AG","3- cell, 42Wh Battery","Windows 11 Home, Single Language English",Đen,18.590.000₫,,
Laptop Dell Pro 15 Essential PV15250 VKVKD - Nhập khẩu chính hãng,Intel Core 3 -100U,2 khe (Nâng cấp tối đa 16GB),Intel Graphics,512GB SSD,15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,"3-cell, 41 Wh hoặc 4-cell, 54 Wh",Free OS,Đen,11.490.000₫,,
Laptop Dell 15 DC15250 KR0N9 - Nhập khẩu chính hãng,Intel Core i5 1334U,2 khe (2 x 8GB),Intel UHD Graphics,512GB NVME 2230 - Nâng cấp tối đa 1TB - Dư 1 Slot HDD,15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,"3-cell, 41 Wh",Free OS,Đen,14.990.000₫,,
Laptop Dell 15 DC15250 CPH99,Intel Core i5-1334U (10 lõi) - Max Turbo Frequency: 4.60 GHz,"2 khe (1 x 16GB, tối đa 32GB)",Intel UHD Graphics,512GB SSD PCIe (M.2 2230) - combo M.2 2230/2280 - nâng tối đa 1TB,15.6 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (41Wh),Windows 11 Home Single Language 64-bit + Office Home 2024,Bạc,17.490.000₫,,
Laptop Dell 15 DC15250 H02DF - Nhập khẩu chính hãng,"Intel Core i5 1334U (8 lõi / 12 luồng, 12MB, up to 4.60 GHz, 12 MB Intel Smart Cache)",2 khe (nâng cấp tối đa 24GB),Intel UHD Graphics,"512GB SSD PCIe NVMe Gen 4, nâng tối đa 1TB",15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói","3 cell, 41Wh",Windows 11,Đen,15.990.000₫,,
Laptop Dell XPS 13 9350 71058714,"Intel Core Ultra 5 226V (2.1 GHz - 4.5 GHz, 8 lõi / 8 luồng, 8 MB Intel Smart Cache)","LPDDR5X, 8533MT/s",Intel Arc graphics,Ổ đĩa thể rắn M.2 PCIe NVMe 1TB,13.4 inches,2560 x 1600 pixels (2K),"Chống phản chiếu
Độ sáng 500 nit
EyeSafe
InfinityEdge","Pin liền, 3-cell, 55 Wh ""smart"" lithium-ion",Windows 11 Home + OfficeHome24 + O365,Đen,57.990.000₫,,
Laptop Dell 16 Plus DB16250 DB6U5387W1,"Intel Core Ultra 5 226V (40 TOPS NPU, 8 lõi, up to 4.5 GHz)",Onboard,Intel Iris Xe Graphics,1TB M.2 PCIe NVMe,16 inches,2560 x 1600 pixels (2.5K),"Độ phủ màu 45% NTSC
Độ sáng 300 nit
Màn hình chống chói","4-Cell Battery, 64WHr","Windows 11 Home, Single Language English + Office Home & Student 2024",Xanh,30.590.000₫,,
