"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Lenovo V15 G4 IRU 83A100PMVN","Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2 khe (8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200, tối đa 16GB)","Intel UHD Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (tối đa 1TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","38Wh, 65W Round Tip (3-pin)","Windows 11 Home Single Language, English","Xám","15.990.000₫","",""
"Laptop Lenovo LOQ 15IAX9E 83LK0079VN","Intel Core i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB","1 khe (1x 16GB, nâng cấp tối đa 32GB DDR5-4800)","NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1432MHz, TGP 65W, 142 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD tối đa 1TB mỗi ổ)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB","57Wh
135W Slim Tip (3-pin)","Windows 11 Home Single Language, English","Xám","21.490.000₫","4.7 sao/ (7 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Có thể nâng lên 32GB ram đc ko shop || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Máy chạy rất mượt, hãng tư vấn rất nhiệt tình, bên giao hàg cũng nhanh. Mỗi tội... || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Cho mình hỏi khi nào mới có đợt giảm giá lại ạ || Thời lượng pin Khoẻ | Hiệu năng Ổn định | Chất lượng hiển thị của màn hình Màu sắc hiển thị chuẩn | Ngoại hình và cấu hình ở mức tốt || Dịch vụ quà tặng kèm không có"
"Laptop Lenovo LOQ 15AHP10 83JG0047VN","AMD Ryzen 7 250 (8 lõi / 16 luồng, 3.3 / 5.1GHz, 8MB L2 / 16MB L3)","2 khe (1 x 16GB, tối đa 32GB)","NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2662MHz, TGP 100W, 440 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD, up to 1TB mỗi ổ)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
G-SYNC","60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Trial + Lenovo AI Now","Xám","30.990.000₫","",""
"Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN","Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2 khe (8GB Onboard + 8GB DDR5-4800, nâng cấp tối đa 24GB (8GB Onboard + 16GB SO-DIMM))","Intel UHD Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","60Wh (Đầu tròn 65W (3 chân)","Windows 11 Home Single Language, English","Xám","15.990.000₫","5 sao/ (7 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Lap này mua không tặng bộ Microsoft office hả shop || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Tư vấn nhiệt tình"
"Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN","AMD Ryzen AI 7 350 (8 lõi / 16 luồng, 2.0 / 5.0GHz, 8MB L2 / 16MB L3)","2 khe (2 x 16GB SO-DIMM DDR5-5600, tối đa 32GB)","AMD Radeon 860M Graphics","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD lên đến 1TB)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 400nits Glossy
Độ phủ màu 100% DCI-P3
DisplayHDR True Black 500","60Wh (65W USB-C Slim (Wall-mount))","Windows 11 Home Single Language, English","Xám","25.990.000₫","",""
"Laptop Lenovo LOQ 15ARP9 83JC00M3VN","AMD Ryzen 5 7235HS (4 lõi / 8 luồng, 3.2 / 4.2GHz, 2MB L2 / 8MB L3)","2 khe (2 x 8GB, nâng cấp tối đa 32GB DDR5-4800)","NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ tối đa 2 ổ M.2 SSD, mỗi ổ M.2 2242 dung lượng đến 1TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
G-SYNC","60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English","Xám","23.190.000₫","",""
"Laptop Lenovo LOQ 15IRX10 83JE00PEVN","Intel Core i7-13650HX, 14 lõi (6P + 8E) / 20 luồng, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","2 khe (1 x 16GB, nâng cấp tối đa 32GB DDR5-4800)","NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2370MHz, TGP 100W, 440 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ tối đa 2 ổ M.2 2242 SSD, mỗi ổ tối đa 1TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
G-SYNC","60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Trial + Lenovo AI Now","Xám","33.490.000₫","",""
"Laptop Lenovo LOQ 15ARP10E 83S0007AVN","AMD Ryzen 7 7735HS (8 lõi / 16 luồng, 3.2 / 4.75GHz, 4MB L2 / 16MB L3)","2 khe (1 x 16GB)","NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 990MHz, TGP 65W","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x SSD M.2 dung lượng tối đa 1TB mỗi ổ)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
FreeSync","57.5Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English","Xám","23.990.000₫","",""
"Laptop Lenovo Legion 5 15IRX10 83LY00HQVN","Intel Core i7-13650HX, 14 lõi (6P + 8E) / 20 luồng, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","2 khe (1 x 16GB, nâng cấp tối đa 32GB)","NVIDIA GeForce RTX 5060 8GB GDDR7, Boost Clock 2497MHz, TGP 115W, 572 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hai khe cắm M.2 2280 PCIe 4.0 x4, tối đa 1TB mỗi ổ)","15.3 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
Dolby Vision","80Wh, 245W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Home 2024 + Lenovo AI Now","Đen","37.990.000₫","",""
"Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006EVN","Intel Core 5 210H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB","2 khe (2x 8GB, tối đa 32GB)","Intel Graphics","512GB SSD M.2 2242 PCIe 4.0x4 NVMe","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 400nits
Độ phủ màu 100% DCI-P3
DisplayHDR True Black 500","60Wh, 65W USB-C Slim (Wall-mount)","Windows 11 Home Single Language, English","Xám","19.990.000₫","",""
