"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_panel","battery","color","price","rating","review_text"
"Laptop MacBook Air 13 inch M4 16GB/256GB","Apple M4","16 GB","Card tích hợp - 8 nhân GPU","256 GB SSD","13.6""","Liquid Retina (2560 x 1664)","IPS","Li-Po, 53.8 Wh","đen","23.990.000₫","4.9/5","Mình mua gần 1 tháng. mà mở 1 tay ko đc. bảng lề bị cứng. vậy đổi được ko || Ê dùng xem phim hay làm việc thì Pin trâu. Mà chơi game cái Pin như uống nước lun á trời Nó trôi nhanh vl. Chưa dùng Mac nên còn bỡ ngỡ nhiều cái"
"Laptop HP 15 fc0655AU - C81NGPA (R5 7430U, 16GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7430U","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD","15.6""","Full HD (1920 x 1080)","Hãng không công bố","3-cell Li-Po, 41Wh","","14.990.000₫","5/5",""
"Laptop Asus Vivobook Go E1504FA - BQ1160W (R5 7520U, 16GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7520U","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD M.2 NVMe PCIe","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-ion - 42 WHrs","","14.690.000₫","5/5",""
"Laptop Dell 15 DC15250 - DC5I5357W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)","Intel Core i5 Raptor Lake - 1334U","16 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 41 Wh","","17.490.000₫","5/5",""
"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD NVMe PCIe","15.3""","WUXGA (1920 x 1200)","IPS","60 Wh","","16.690.000₫","4.9/5","Màn hình rộng, chip ổn, hành trình gõ phím tốt, sử dụng với mục đích văn phòng quá ok. || mọi người ơi biết chỉnh setting cài đặt thành tiếng việt không ạ."
"Laptop Acer Aspire Lite 15 AL15 41P R3QL - NX.J54SV.001 (R7 5700U, 8GB, 512GB, Full HD, Win11)","AMD Ryzen 7 - 5700U","8 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 58 Wh","","12.990.000₫","5/5",""
"Laptop MacBook Pro 14 inch M5 16GB/512GB","Apple M5","16 GB","Card tích hợp - 10 nhân GPU","512 GB SSD","14.2""","Liquid Retina XDR display (3024 x 1964)","","Li-Po, 72.4 Wh","Đen","40.690.000₫","5/5","Chất lượng đúng chuẩn pro,mượt mà như sunsilk."
"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7530U","8 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe PCIe","14""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 41 Wh","","13.490.000₫","5/5",""
"Laptop Dell 15 DC15255 - DC5R5802W1 (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)","AMD Ryzen 5 - 7530U","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD M.2 NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""","Full HD (1920 x 1080)","VA","3-cell Li-ion, 41 Wh","","15.990.000₫","5/5",""
"Laptop Asus Vivobook 15 X1504VA - BQ3394W (i3 1315U, 8GB, 512GB, Full HD, Win11)","Intel Core i3 Raptor Lake - 1315U","8 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD PCIe M.2 (2280)","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 42 Wh","","12.790.000₫","5/5",""
"Laptop Lenovo Ideapad Slim 3 15AMN8 - 82XQ00J0VN (R5 7520U, 16GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7520U","16 GB","Card tích hợp - AMD Radeon 610M Graphics","512 GB SSD NVMe M.2 PCIe Gen 4.0","15.6""","Full HD (1920 x 1080)","IPS","47 Wh","","13.990.000₫","4.9/5","Dùng tạm ổn. Pin khá trâu. Mỗi tội chip hơi đuối. Dùng bình thường cũng thi thoảng giật lag. Mới mua được 3 ngày mà đang dùng bình thường tự nhiên nó vào bios như này cũng k biết tại sao || Máy bị kêu tút tút hoài mà nt cho nhân viên bán hàng cho mình k thấy phản hồi lại để bảo hành"
"Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP - NH.QPGSV.004 (R5 6600H, 16GB, 512GB, RTX 2050 4GB, Full HD 165Hz, Win11)","AMD Ryzen 5 - 6600H","16 GB","Card rời - NVIDIA GeForce RTX 2050, 4 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 57Wh","","18.690.000₫","4.9/5","Máy chạy mượt, ít bị nóng máy khi dùng cho lập trình, touchpad rất nhạy và không bị trễ. || sài ổn , nhưng không biết bật giới hạn 80% pin ở chỗ nào vậy"
"Laptop Acer Aspire Lite 15 AL15 71P 517D - NX.J7KSV.001 (i5 12450H, 16GB, 512GB, Full HD, Win11)","Intel Core i5 Alder Lake - 12450H","16 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","","3-cell Li-ion, 58 Wh","","14.890.000₫","5/5",""
"Laptop MSI Gaming Thin 15 B13UCX - 2080VN (i5 13420H, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 2050, 4 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 52.4 Wh","","16.890.000₫","5/5",""
"Laptop MacBook Pro 14 inch M5 16GB/512GB Sạc 96W","Apple M5","16 GB","Card tích hợp - 10 nhân GPU","512 GB SSD","14.2""","Liquid Retina XDR display (3024 x 1964)","","Li-Po, 72.4 Wh","Bạc","41.890.000₫","5/5",""
"Laptop MacBook Air 13 inch M2 16GB/256GB","Apple M2","16 GB","Card tích hợp - 8 nhân GPU","256 GB SSD","13.6""","Liquid Retina (2560 x 1664)","","Lên đến 18 giờ","đen","19.690.000₫","4.9/5","Mua gần 1 năm , pin trâu , sạc nhanh ,màn đẹp ,Chưa gặp lỗi gì , khá hài lòng , đợi ra Air màn 120hz lên đời là đẹp || Cho em hỏi bên tgdd có cài office 365 vĩnh viễn cho macbook ko ạ"
